住所,時間,動作
日本、〒168-0073 東京都杉並区下高井戸５丁目２２−１４,8:00,開始
日本、〒168-0064 東京都杉並区永福１丁目８−１ 光寿閣門信徒会館,8:12,集荷
日本、〒168-0065 東京都杉並区浜田山４丁目３−２１ 都営浜田山四丁目第２アパート２１号棟,8:25,集荷
日本、〒166-0015 東京都杉並区成田東２丁目１９−９,8:35,集荷
日本、〒166-0015 東京都杉並区成田東３丁目１７−１７ イルサロット,8:42,集荷
日本、〒166-0015 東京都杉並区成田東４丁目１９−１５,8:51,集荷
日本、〒166-0015 東京都杉並区成田東５丁目３０ プチ・阿佐ヶ谷,9:01,集荷
日本、〒167-0051 東京都杉並区荻窪２丁目４３−１８ ライオンズガーデン荻窪大田黒公園,9:11,集荷
日本、〒168-0081 東京都杉並区宮前２丁目１８−１８,9:22,集荷
日本、〒166-0016 東京都杉並区成田西３丁目１８−１４,9:32,集荷
日本、〒166-0016 東京都杉並区成田西１丁目２０−６,9:44,配達
日本、〒166-0014 東京都杉並区松ノ木１丁目１２−３５,9:59,集荷
日本、〒166-0004 東京都杉並区阿佐谷南１丁目６ 三星海運（株）阿佐谷住宅,10:12,集荷
日本、〒166-0016 東京都杉並区成田西３丁目１７−７,10:26,集荷
日本、〒168-0082 東京都杉並区久我山５丁目２３−３,10:39,集荷
日本、〒168-0071 東京都杉並区高井戸西２丁目７−２４,10:49,集荷
日本、〒168-0072 東京都杉並区 人見街道,10:59,集荷
日本、〒166-0016 東京都杉並区成田西２丁目２０−１５,11:10,配達
日本、〒166-0016 東京都杉並区成田西３丁目９−２０,11:18,集荷
日本、〒166-0015 東京都杉並区成田東４丁目１０ ケーワイヒルズ,11:27,集荷
日本、〒166-0004 東京都杉並区阿佐谷南１丁目６ アークスハウス,11:38,集荷
日本、〒166-0014 東京都杉並区松ノ木３丁目２６−１１,11:46,集荷
日本、〒168-0081 東京都杉並区 井ノ頭通り,12:04,集荷
日本、〒167-0052 東京都杉並区南荻窪２丁目１７−７ ハイム優,12:13,集荷
日本、〒167-0053 東京都杉並区西荻南１丁目９−１,12:23,集荷
日本、〒168-0072 東京都杉並区高井戸東１丁目２５−４,12:40,集荷
日本、東京都杉並区 首都高速4号新宿線,12:52,集荷
日本、〒168-0073 東京都杉並区下高井戸１丁目３６−１６,13:01,集荷
日本、〒156-0057 東京都世田谷区上北沢４丁目１１−５ 上北沢サンハイツ,13:08,集荷
日本、〒156-0057 東京都世田谷区上北沢３丁目１０−５ 上北沢スカイハイツ,13:16,集荷
日本、〒156-0045 東京都世田谷区桜上水３丁目１−１１,13:26,集荷
日本、〒156-0045 東京都世田谷区桜上水３丁目７−１７,13:34,集荷
