住所,時間,動作
日本、〒167-0051 東京都杉並区荻窪３丁目２７−５ やよい荘,8:00,開始
日本、〒167-0051 東京都杉並区荻窪３丁目２７−５ やよい荘,8:34,集荷
日本、〒168-0072 東京都杉並区高井戸東４丁目４−１４,8:48,移動
日本、〒166-0016 東京都杉並区成田西２丁目７−１６ メゾン成田,8:57,移動
日本、〒166-0016 東京都杉並区成田西１丁目６−１９,9:09,移動
日本、〒168-0061 東京都杉並区大宮１丁目５−１３,9:21,移動
日本、〒168-0071 東京都杉並区 環八通り,9:38,移動
日本、〒156-0056 東京都世田谷区八幡山３丁目１５−８,9:49,移動
日本、〒156-0056 東京都世田谷区八幡山１丁目２−１３,9:59,移動
日本、〒156-0055 東京都世田谷区船橋４丁目３−１５,10:07,移動
日本、〒157-0071 東京都世田谷区千歳台３丁目２８−４,10:17,移動
日本、〒157-0062 東京都世田谷区南烏山３丁目１１−２４,10:32,移動
日本、〒157-0061 東京都世田谷区北烏山１丁目１６−４,10:43,移動
日本、〒157-0061 東京都世田谷区北烏山１丁目５０−２０,10:49,移動
日本、〒157-0061 東京都世田谷区北烏山２丁目１０−Ｂ コーシャハイム久我山Ｂ棟,10:57,移動
日本、〒168-0082 東京都杉並区久我山２丁目１８−１８,11:09,配達
