住所,時間,動作
日本、〒167-0052 東京都杉並区南荻窪２丁目２３−１６,8:52,開始
日本、〒167-0052 東京都杉並区南荻窪２丁目２３−１６,11:42,集荷
日本、〒168-0063 東京都杉並区和泉３丁目１０−６,12:01,移動
日本、〒168-0063 東京都杉並区和泉２丁目１７−２１,12:09,移動
日本、〒156-0044 東京都世田谷区赤堤４丁目３６ メゾン大森,12:23,移動
日本、〒156-0044 東京都世田谷区赤堤４丁目１９−８,12:30,移動
日本、〒156-0044 東京都世田谷区赤堤５丁目３−９,12:38,移動
日本、〒156-0044 東京都世田谷区赤堤３丁目１２−１６ 赤堤徒然寮,12:46,移動
日本、〒156-0044 東京都世田谷区赤堤２丁目５−１０ 豪徳寺ハイム,12:53,移動
日本、〒154-0021 東京都世田谷区豪徳寺１丁目１３−４,13:01,移動
日本、〒154-0022 東京都世田谷区梅丘２丁目６−１５,13:19,交換
日本、〒154-0023 東京都世田谷区若林４丁目３２−５ 国士舘大学世田谷キャンパス世田谷校舎メイプルセンチュリーホール,13:27,移動
日本、〒154-0003 東京都世田谷区野沢３丁目２５−４ ＢＬＥＳＳ学芸大学ｔｈｅＣｏｕｒｔ,13:43,移動
日本、〒154-0002 東京都世田谷区下馬３丁目４−３,13:49,移動
日本、〒154-0003 東京都世田谷区野沢２丁目９−６ ヒルトップノザワ,13:59,移動
日本、〒152-0023 東京都目黒区八雲５丁目３−２２ ユニテ八雲,14:11,移動
日本、〒154-0012 東京都世田谷区駒沢５丁目２−１０,14:22,移動
日本、〒154-0012 東京都世田谷区駒沢４丁目５−１２,14:33,配達
